type,monthly_charges,total_charges,paperless_billing,begin_month,begin_year,end_month,end_year,active_days,internet_fiber_optic,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,senior_citizen,gender_male,partner,dependents,multiple_lines,payment_method_Credit card (automatic),payment_method_Electronic check,payment_method_Mailed check
0,106.3,4443.45,True,6,2016,11,2019,1248,True,False,True,True,False,True,True,0,False,False,False,True,False,True,False
2,116.05,6925.9,True,2,2015,2,2021,1795,True,True,True,True,True,True,True,1,False,True,False,True,False,False,False
1,106.0,4178.65,True,10,2016,10,2020,1187,True,False,True,True,False,True,True,0,True,True,False,True,False,False,False
0,19.9,19.9,False,1,2020,2,2020,0,False,False,False,False,False,False,False,0,False,False,False,False,False,False,True
2,20.4,292.4,False,12,2018,12,2021,396,False,False,False,False,False,False,False,0,False,True,False,False,False,False,True
2,79.6,4024.2,True,12,2015,12,2021,1492,False,False,True,False,True,True,True,0,False,False,False,True,False,False,True
0,50.95,605.75,True,2,2019,3,2019,28,False,True,True,False,True,True,False,0,True,False,False,False,False,False,False
0,70.2,280.35,True,10,2019,10,2021,92,True,False,False,False,False,False,False,1,True,True,False,False,False,True,False
0,26.35,184.05,False,8,2019,8,2021,153,False,False,False,False,False,False,False,0,True,False,True,True,False,False,True
0,95.15,196.9,True,9,2019,11,2019,61,True,False,False,False,False,True,True,0,False,False,False,True,False,True,False
0,105.0,7133.25,True,5,2014,11,2019,2010,True,False,True,True,False,True,True,0,True,True,False,True,True,False,False
0,100.95,329.95,True,9,2019,12,2019,91,True,False,False,True,False,True,True,0,True,False,False,True,False,True,False
1,115.65,7968.85,False,3,2014,1,2020,2132,True,True,True,True,True,True,True,0,True,True,False,True,True,False,False
0,94.2,4186.3,True,4,2016,10,2019,1278,True,False,False,False,False,True,True,0,False,True,True,True,False,True,False
1,109.15,7789.6,False,2,2014,2,2020,2160,True,False,True,True,True,True,True,0,False,True,False,True,True,False,False
2,64.45,4528.0,False,2,2014,2,2021,2160,False,True,True,True,True,True,True,0,False,True,True,False,False,False,False
0,80.5,896.9,True,2,2019,1,2020,334,True,False,True,False,False,False,False,0,True,True,False,True,False,False,False
0,55.1,154.65,True,8,2019,11,2019,92,False,True,False,False,True,False,False,0,False,False,True,False,False,False,True
0,55.3,55.3,True,1,2020,2,2020,0,False,False,False,False,False,True,False,0,False,True,False,False,False,False,True
0,74.4,74.4,True,9,2019,10,2019,30,True,False,False,False,False,False,False,1,True,False,False,True,False,True,False
0,74.5,74.5,True,9,2019,10,2019,30,True,False,False,False,False,False,False,0,False,False,False,True,False,True,False
0,50.7,350.35,False,7,2019,7,2021,184,False,True,False,False,False,False,False,0,False,True,True,False,False,False,True
0,82.0,184.65,True,8,2019,10,2019,61,True,False,True,False,False,False,False,0,True,False,False,True,False,True,False
2,85.75,6223.8,False,3,2014,3,2021,2132,False,True,True,True,True,True,True,0,False,True,False,True,True,False,False
0,50.3,908.75,True,8,2018,8,2021,518,False,False,False,False,True,False,False,0,False,True,False,False,False,False,True
0,29.65,118.5,True,7,2019,11,2019,123,False,False,False,True,False,False,False,0,True,False,False,False,False,True,False
0,91.8,5960.5,True,10,2014,10,2021,1918,True,True,True,True,False,False,False,0,True,True,True,True,False,True,False
0,81.0,389.6,True,7,2019,12,2019,153,True,False,False,False,False,True,False,0,False,False,False,False,True,False,False
2,24.25,1724.15,False,4,2014,4,2021,2101,False,False,False,False,False,False,False,0,True,True,False,True,False,False,False
0,35.1,68.75,True,9,2019,11,2019,61,False,False,False,False,False,False,True,0,False,True,False,False,False,True,False
1,100.3,6754.35,True,6,2014,6,2020,2040,True,False,True,False,True,True,True,0,True,True,False,False,False,True,False
0,100.6,1060.2,True,1,2019,11,2019,304,True,False,False,True,False,True,True,0,False,False,False,True,False,True,False
0,95.75,573.75,True,7,2019,1,2020,184,True,False,False,True,False,True,True,1,True,True,False,False,False,True,False
1,109.4,6252.7,True,5,2015,5,2020,1706,True,False,True,True,True,True,True,0,False,True,False,True,False,False,False
0,105.05,5624.85,True,9,2015,1,2020,1583,True,False,True,True,False,True,True,0,False,True,False,True,False,True,False
0,55.7,899.8,True,7,2018,10,2019,457,False,True,False,False,False,False,False,0,False,False,False,True,False,False,True
0,25.15,25.15,True,11,2019,12,2019,30,False,False,False,False,False,False,False,0,True,False,False,False,False,True,False
0,93.4,5435.6,True,2,2015,12,2019,1764,True,True,True,False,False,False,True,0,False,True,True,True,False,False,False
0,46.0,46.0,False,12,2019,1,2020,31,False,False,False,False,False,False,False,1,False,True,False,False,False,True,False
2,65.6,4566.5,True,2,2014,2,2021,2160,False,True,True,True,True,True,True,0,True,False,False,False,False,False,False
2,84.75,2839.45,False,4,2017,4,2021,1005,False,True,True,True,True,True,True,0,False,True,True,False,False,False,True
0,84.85,3645.6,True,7,2016,7,2021,1279,True,False,False,False,False,True,False,1,True,False,False,True,False,True,False
0,85.45,4874.7,True,5,2015,12,2019,1675,True,False,True,True,False,False,False,1,False,True,False,True,False,True,False
0,70.1,70.1,False,1,2020,2,2020,0,True,False,False,False,False,False,False,0,False,False,False,False,False,True,False
0,98.5,1037.75,True,1,2019,11,2019,304,True,False,False,True,False,True,True,0,True,True,False,True,False,True,False
0,94.4,4014.6,True,8,2016,8,2021,1248,True,True,False,True,False,False,True,0,True,True,False,True,False,True,False
1,81.15,5224.5,True,11,2014,11,2020,1887,True,True,False,True,False,False,False,0,False,True,False,False,True,False,False
1,20.05,951.55,False,3,2016,3,2020,1401,False,False,False,False,False,False,False,0,True,True,True,False,False,False,True
0,80.3,526.7,True,4,2019,11,2019,214,True,False,False,False,False,True,False,0,False,False,False,False,False,False,True
0,43.65,526.95,True,1,2019,1,2020,365,False,False,False,True,True,False,True,1,True,False,False,False,False,True,False
0,100.05,6871.9,True,4,2014,10,2019,2009,True,False,False,False,True,True,True,1,True,True,False,True,True,False,False
0,98.8,3475.55,False,10,2016,11,2019,1126,True,False,False,False,True,True,True,0,True,False,False,True,False,False,False
1,43.7,2696.55,False,1,2015,1,2020,1826,False,True,True,True,True,False,False,0,False,False,False,False,True,False,False
0,70.85,70.85,False,10,2019,11,2019,31,True,False,False,False,False,False,False,1,True,True,False,False,False,False,True
0,55.3,196.15,True,9,2019,12,2019,91,False,False,False,False,False,False,True,0,False,False,False,False,False,True,False
2,74.3,4166.35,True,5,2015,5,2021,1706,False,True,True,True,True,True,False,0,False,False,False,False,True,False,False
2,70.45,5165.7,True,2,2014,2,2021,2160,False,True,True,True,True,False,False,0,False,True,True,True,False,False,False
0,93.6,2404.1,True,12,2017,12,2021,761,True,False,False,False,False,True,True,1,True,False,False,True,False,True,False
1,97.65,6982.5,True,4,2014,4,2020,2101,True,False,False,True,False,True,True,0,False,True,False,True,False,True,False
0,111.1,6014.85,False,7,2015,1,2020,1645,True,False,True,True,True,True,True,0,False,False,False,True,False,True,False
0,86.0,86.0,True,11,2019,12,2019,30,True,False,True,False,False,False,True,1,False,False,False,False,False,True,False
0,90.55,90.55,False,10,2019,11,2019,31,True,False,False,False,False,True,True,0,False,False,False,False,False,True,False
1,19.5,835.5,False,6,2016,6,2020,1309,False,False,False,False,False,False,False,0,True,False,False,False,True,False,False
0,89.8,1129.1,True,9,2018,11,2019,426,True,False,False,False,False,True,True,0,False,False,False,False,False,False,True
2,80.45,5886.85,True,2,2014,2,2021,2160,False,True,False,True,True,True,True,0,False,True,True,False,False,False,False
2,53.15,1183.2,False,5,2018,5,2021,610,False,True,True,True,True,True,False,0,False,False,True,False,False,False,True
1,54.25,773.2,True,12,2018,12,2020,396,False,False,True,False,False,False,False,0,False,False,False,True,False,False,True
2,20.2,1192.3,True,3,2015,3,2021,1767,False,False,False,False,False,False,False,0,True,False,False,False,False,False,False
0,105.25,6786.4,False,8,2014,1,2020,1979,True,True,False,True,False,True,True,1,False,True,False,True,False,False,False
1,65.4,2774.55,False,6,2016,6,2020,1309,False,True,False,False,True,True,False,0,True,False,False,False,False,True,False
0,68.95,351.5,True,9,2019,9,2021,122,True,False,False,False,False,False,False,0,False,True,False,False,False,True,False
0,101.25,2440.15,True,12,2017,12,2019,730,True,False,True,False,False,True,True,1,True,False,False,True,False,True,False
0,78.1,947.3,False,10,2018,10,2019,365,True,False,False,False,False,False,True,0,False,False,False,False,False,False,False
0,20.5,20.5,False,12,2019,1,2020,31,False,False,False,False,False,False,False,0,False,False,False,False,False,False,True
0,69.95,69.95,False,9,2019,10,2019,30,True,False,False,False,False,False,False,0,True,False,False,False,False,True,False
0,85.2,2874.45,True,4,2017,4,2021,1005,True,False,False,True,False,True,False,1,True,True,False,False,True,False,False
1,48.95,955.6,True,7,2018,7,2020,549,False,True,False,False,False,False,False,0,True,True,True,False,False,False,False
0,45.3,45.3,True,9,2019,10,2019,30,False,False,False,False,False,False,False,0,False,False,False,False,False,True,False
0,98.8,3475.55,False,10,2016,11,2019,1126,True,False,False,False,True,True,True,0,True,False,False,True,False,False,False
0,85.1,1873.7,True,2,2018,12,2019,668,True,False,False,False,False,False,True,0,True,True,False,True,False,True,False
0,100.3,832.35,False,3,2019,11,2019,245,True,True,False,False,True,True,True,1,True,False,False,False,True,False,False
0,94.75,5597.65,True,3,2015,3,2021,1767,True,True,True,False,False,True,False,0,False,True,False,True,False,True,False
0,44.55,1462.6,True,5,2017,5,2021,975,False,False,False,False,False,False,False,0,True,True,False,False,True,False,False
1,39.65,1798.65,False,3,2016,3,2020,1401,False,True,True,False,True,False,False,0,False,False,False,False,True,False,False
1,99.1,5437.1,True,8,2015,8,2020,1614,True,False,False,True,True,True,True,1,False,True,False,False,False,True,False
0,86.55,649.65,True,3,2019,11,2019,245,True,False,False,False,False,False,True,0,True,False,False,True,False,True,False
0,19.95,416.4,True,5,2018,5,2021,610,False,False,False,False,False,False,False,0,True,False,False,False,False,False,True
0,69.0,147.8,False,12,2019,12,2021,31,False,False,False,True,False,True,True,0,False,True,False,False,True,False,False
0,80.15,319.85,True,10,2019,10,2021,92,True,True,False,False,False,False,False,0,False,False,False,True,False,True,False
0,59.8,1130.85,True,7,2018,7,2021,549,False,False,True,False,False,False,True,0,False,True,False,False,False,False,True
2,21.0,1107.2,False,10,2015,10,2021,1553,False,False,False,False,False,False,False,0,True,False,False,False,False,False,False
2,25.25,1728.2,False,6,2014,6,2021,2040,False,False,False,False,False,False,False,0,True,True,False,True,False,False,False
0,70.3,235.5,True,10,2019,1,2020,92,True,False,False,False,False,False,False,1,False,False,False,False,False,True,False
0,105.25,6786.4,False,8,2014,1,2020,1979,True,True,False,True,False,True,True,1,False,True,False,True,False,False,False
0,65.45,937.6,True,9,2018,11,2019,426,False,True,True,False,False,True,False,0,True,True,True,False,False,True,False
0,55.7,3131.8,False,7,2015,7,2021,1645,False,True,True,False,False,False,False,0,False,True,True,False,False,True,False
0,86.0,165.45,True,10,2019,12,2019,61,True,False,False,False,False,False,True,0,True,False,False,True,False,True,False
0,20.1,20.1,False,11,2019,12,2019,30,False,False,False,False,False,False,False,0,True,False,False,False,False,False,True
1,100.2,2688.45,False,10,2017,10,2020,822,True,False,True,False,False,True,True,0,True,False,False,True,False,True,False
2,35.75,830.8,False,2,2018,2,2021,699,False,True,False,False,True,False,False,0,True,False,True,False,False,False,True
0,24.25,96.05,True,8,2019,12,2019,122,False,False,False,False,False,False,False,0,False,False,False,False,False,False,True
0,75.35,75.35,True,11,2019,12,2019,30,True,False,True,False,False,False,False,0,True,False,True,False,False,True,False
0,55.2,528.35,False,1,2019,11,2019,304,False,False,False,True,True,False,False,0,False,True,True,False,True,False,False
1,82.45,4350.1,False,5,2015,11,2019,1645,False,True,True,False,True,True,True,1,False,False,False,True,False,False,False
0,20.15,20.15,True,9,2019,10,2019,30,False,False,False,False,False,False,False,0,False,True,True,False,True,False,False
0,99.15,465.05,True,6,2019,11,2019,153,True,False,True,False,True,True,True,0,False,True,True,False,False,False,True
2,26.45,1914.5,False,2,2014,2,2021,2160,False,False,False,False,False,False,False,0,False,True,False,True,True,False,False
2,103.2,5873.75,True,6,2015,6,2021,1675,True,False,False,True,True,True,True,0,True,True,True,True,False,True,False
0,20.4,251.65,True,1,2019,2,2020,365,False,False,False,False,False,False,False,0,True,False,False,False,False,True,False
2,72.95,5265.55,False,4,2014,4,2021,2101,False,False,True,True,True,True,False,0,True,True,False,True,False,False,False
0,20.9,20.9,False,9,2019,10,2019,30,False,False,False,False,False,False,False,0,False,False,False,False,False,False,True
0,80.1,679.3,True,3,2019,11,2019,245,True,False,False,False,False,True,False,0,False,False,False,False,False,False,False
0,90.25,2755.35,True,4,2017,10,2019,913,True,False,False,False,False,True,True,0,True,False,False,False,False,True,False
0,85.95,381.3,True,7,2019,11,2019,123,True,False,False,False,False,False,True,0,False,True,True,True,False,True,False
1,108.95,5718.2,True,9,2015,9,2020,1583,True,False,True,True,True,True,True,0,False,True,False,True,False,False,False
2,63.1,4685.55,True,2,2014,2,2021,2160,False,True,True,True,True,True,True,1,True,True,False,False,False,False,False
0,75.25,3017.65,False,10,2016,1,2020,1187,True,False,False,False,False,False,False,0,True,False,False,True,False,True,False
0,38.5,330.8,True,6,2019,6,2021,214,False,True,False,False,False,False,True,0,False,False,True,False,False,True,False
2,19.5,1050.5,False,9,2015,9,2021,1583,False,False,False,False,False,False,False,0,True,False,False,False,True,False,False
0,21.05,21.05,True,1,2020,2,2020,0,False,False,False,False,False,False,False,0,True,False,True,False,False,False,True
2,53.95,3888.65,False,3,2014,3,2021,2132,False,True,True,True,True,True,False,0,True,False,False,False,False,False,False
0,106.6,1934.45,True,6,2018,1,2020,579,True,True,False,True,True,True,True,0,False,False,False,False,False,True,False
1,105.2,4822.85,True,2,2016,12,2019,1399,True,True,True,False,True,True,True,0,False,False,True,False,False,False,False
0,106.75,6252.9,True,1,2015,12,2019,1795,True,True,True,True,True,True,False,0,True,True,False,True,False,True,False
1,53.65,1355.45,False,1,2018,1,2020,730,False,False,True,True,False,False,False,0,True,True,True,False,False,False,True
0,19.75,19.75,False,1,2020,2,2020,0,False,False,False,False,False,False,False,0,False,False,False,False,False,False,True
0,83.9,497.55,False,4,2019,10,2019,183,True,False,False,True,False,False,True,0,False,False,False,False,False,True,False
0,55.95,734.35,False,12,2018,1,2020,396,False,False,False,False,False,False,True,0,False,True,True,False,False,True,False
2,19.3,1414.8,False,2,2014,2,2021,2160,False,False,False,False,False,False,False,0,True,False,False,False,False,False,False
0,79.35,661.25,True,2,2019,11,2019,273,True,False,False,True,False,False,False,0,True,True,True,True,False,False,False
0,88.35,88.35,True,11,2019,12,2019,30,True,False,False,False,False,True,True,0,True,False,False,False,False,True,False
0,24.75,24.75,False,9,2019,10,2019,30,False,False,False,False,False,False,False,0,True,False,True,False,False,True,False
0,101.15,3741.85,False,12,2016,12,2021,1126,True,False,True,False,False,True,True,1,True,True,True,True,False,True,False
0,48.25,202.25,False,10,2019,10,2021,92,False,True,False,True,True,False,True,0,False,False,False,False,False,False,True
0,45.3,45.3,False,9,2019,10,2019,30,False,False,False,False,False,False,False,0,True,False,False,False,False,True,False
0,78.55,149.55,True,11,2019,1,2020,61,True,False,False,True,False,False,False,1,False,False,False,True,False,True,False
0,29.6,79.45,True,9,2019,12,2019,91,False,False,True,False,False,False,False,0,True,False,False,False,False,True,False
0,80.2,80.2,True,10,2019,11,2019,31,True,False,True,False,False,False,False,0,False,False,False,True,False,False,True
0,90.55,2282.55,True,10,2017,10,2019,730,True,False,True,False,False,True,False,0,True,False,False,True,True,False,False
0,105.5,2686.05,True,1,2018,2,2020,730,True,True,False,True,True,True,True,0,True,False,False,False,False,True,False
0,95.5,181.65,True,12,2019,12,2021,31,True,False,False,True,False,True,True,1,True,True,False,False,True,False,False
0,20.95,85.5,False,8,2019,12,2019,122,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False
0,90.55,90.55,True,9,2019,10,2019,30,True,False,False,False,False,True,True,0,True,False,False,False,False,True,False
0,79.25,793.55,True,12,2018,10,2019,304,True,False,False,False,False,False,True,1,True,False,False,False,False,True,False
2,58.2,3810.8,True,8,2014,8,2021,1979,False,True,True,False,True,False,False,0,False,True,True,False,True,False,False
0,49.15,2550.9,True,9,2015,1,2020,1583,False,False,True,False,False,True,True,1,True,False,False,False,False,True,False
0,84.8,906.85,True,1,2019,12,2019,334,True,False,False,False,False,False,True,1,False,False,False,True,True,False,False
0,19.85,19.85,True,9,2019,10,2019,30,False,False,False,False,False,False,False,0,True,False,False,False,False,True,False
0,98.55,1842.8,True,4,2018,12,2019,609,True,False,False,True,False,True,True,1,True,False,False,True,False,True,False
0,50.5,147.75,True,11,2019,11,2021,61,False,False,False,False,True,False,False,0,True,False,False,False,False,False,True
0,55.65,2421.75,False,8,2016,8,2021,1248,False,False,False,True,False,False,False,1,False,False,False,True,False,True,False
1,99.2,4062.2,True,6,2016,10,2019,1217,True,False,True,False,True,True,True,1,False,True,False,False,True,False,False
0,80.1,398.55,True,9,2019,9,2021,122,True,False,False,False,False,True,False,0,True,False,False,False,False,False,True
0,104.1,3121.1,True,8,2017,8,2021,883,True,False,True,True,False,True,True,1,False,False,False,True,False,True,False
0,84.8,1203.9,True,12,2018,12,2021,396,True,False,False,False,False,True,False,0,False,True,True,True,False,True,False
0,101.0,4388.4,True,6,2016,1,2020,1309,True,False,True,False,False,True,True,1,True,True,False,True,False,True,False
0,66.4,1286.05,False,7,2018,7,2021,549,False,True,False,True,False,True,False,1,True,True,False,False,False,False,False
0,19.7,342.4,True,9,2018,1,2020,487,False,False,False,False,False,False,False,0,True,False,False,False,False,False,True
0,20.7,57.5,False,11,2019,11,2021,61,False,False,False,False,False,False,False,0,True,False,False,False,False,False,True
0,79.55,79.55,True,11,2019,12,2019,30,True,False,False,True,False,False,False,0,False,False,False,True,False,False,True
2,19.6,331.6,False,11,2018,11,2021,426,False,False,False,False,False,False,False,0,False,False,False,False,False,False,True
0,111.35,6519.75,True,3,2015,3,2021,1767,True,False,True,True,True,True,True,0,True,False,False,True,False,True,False
1,35.3,264.8,False,7,2019,7,2020,184,False,True,False,True,False,False,False,0,True,False,False,False,False,False,True
0,105.5,829.55,True,4,2019,12,2019,244,True,False,True,True,False,True,True,1,False,False,False,True,False,True,False
0,89.95,6143.15,True,3,2014,12,2019,2101,True,False,True,False,False,True,False,1,True,True,False,True,False,True,False
0,19.55,543.8,True,10,2017,10,2021,822,False,False,False,False,False,False,False,0,False,True,True,False,False,False,False
0,19.5,413.0,True,6,2018,6,2021,579,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False
0,78.85,3126.85,True,10,2016,10,2021,1187,True,False,False,False,True,False,False,0,False,True,False,True,True,False,False
2,24.7,1810.55,False,3,2014,3,2021,2132,False,False,False,False,False,False,False,0,False,True,True,True,False,False,False
0,94.7,1687.95,True,4,2018,10,2019,548,True,False,False,False,False,True,True,0,True,True,False,True,False,True,False
0,20.55,20.55,False,1,2020,2,2020,0,False,False,False,False,False,False,False,0,True,False,False,False,True,False,False
0,73.1,4144.9,True,7,2015,7,2021,1645,True,False,False,False,False,False,False,0,False,False,False,True,False,True,False
0,69.6,69.6,True,12,2019,1,2020,31,True,False,False,False,False,False,False,1,False,False,False,False,False,True,False
2,25.8,1911.5,False,6,2014,6,2021,2040,False,False,False,False,False,False,False,0,False,True,False,True,True,False,False
0,79.0,522.95,True,6,2019,1,2020,214,True,False,False,False,False,True,False,0,False,False,False,False,False,True,False
2,74.35,5237.4,True,2,2014,2,2021,2160,False,True,True,True,True,False,True,0,False,True,True,False,False,True,False
1,99.7,4977.2,True,2,2016,2,2020,1430,True,True,False,True,False,True,True,0,False,True,True,False,False,False,False
2,87.25,6328.7,False,3,2014,3,2021,2132,False,True,True,True,True,True,True,0,False,True,True,False,True,False,False
2,107.4,7748.75,True,2,2014,2,2021,2160,True,True,True,True,True,False,True,1,False,False,False,True,False,False,False
0,100.65,5688.05,True,2,2015,10,2019,1703,True,False,False,True,False,True,True,1,False,True,False,True,False,False,False
0,52.2,52.2,True,10,2019,11,2019,31,False,False,False,False,True,False,False,0,False,False,False,False,False,True,False
0,84.75,1816.75,True,4,2018,4,2021,640,True,False,False,False,False,False,True,0,False,False,True,True,False,True,False
0,59.5,415.95,True,6,2019,1,2020,214,False,False,False,False,True,True,False,0,False,False,False,False,False,False,True
2,46.25,3121.4,False,5,2014,5,2021,2071,False,True,True,True,True,False,False,0,False,True,True,False,False,False,False
0,90.15,987.95,False,12,2018,11,2019,335,True,False,False,False,True,True,False,0,False,False,False,True,False,True,False
2,108.05,7532.15,True,11,2013,10,2019,2160,True,True,False,True,True,True,True,0,True,False,False,True,False,True,False
0,81.95,81.95,True,11,2019,12,2019,30,True,False,False,False,False,False,True,0,False,False,False,False,False,True,False
1,19.9,505.45,False,1,2018,1,2020,730,False,False,False,False,False,False,False,0,True,True,True,False,False,True,False
1,20.8,1021.8,False,6,2015,11,2019,1614,False,False,False,False,False,False,False,0,False,True,False,False,False,False,False
2,59.95,3921.1,False,9,2014,9,2021,1948,False,True,False,True,True,True,True,0,False,False,False,False,True,False,False
0,109.85,7002.95,True,11,2014,11,2021,1887,True,False,True,True,True,True,True,0,False,False,False,True,True,False,False
0,104.35,2271.85,True,5,2018,5,2021,610,True,False,True,True,False,True,True,1,True,False,False,True,False,True,False
2,95.9,6954.15,True,2,2014,2,2021,2160,True,True,True,False,False,True,False,0,False,True,True,True,False,False,False
1,34.7,1604.5,False,1,2016,1,2020,1461,False,False,True,True,False,False,False,0,False,True,False,False,False,False,True
0,94.4,387.2,True,7,2019,11,2019,123,True,True,False,True,True,False,True,0,False,False,False,False,False,False,False
2,25.0,1802.55,True,2,2014,2,2021,2160,False,False,False,False,False,False,False,1,True,True,False,True,False,False,False
0,106.1,2249.95,True,4,2018,1,2020,640,True,False,False,True,True,True,True,0,True,True,False,True,False,True,False
2,25.05,369.1,False,11,2018,11,2021,426,False,False,False,False,False,False,False,0,False,False,False,True,False,False,False
2,110.75,7751.7,True,2,2014,2,2021,2160,True,True,True,True,False,True,True,0,False,True,False,True,False,True,False
1,48.35,1067.15,True,12,2017,11,2019,700,False,False,False,False,False,False,False,0,True,True,True,True,True,False,False
0,49.55,878.35,True,5,2018,11,2019,549,False,False,False,True,False,False,False,0,True,True,False,False,False,False,True
2,86.4,6058.95,True,2,2014,2,2021,2160,False,True,True,False,True,True,True,0,False,True,False,True,False,False,False
0,101.25,1457.25,True,10,2018,1,2020,457,True,False,True,True,False,True,True,0,False,False,False,False,False,True,False
0,20.05,299.3,True,12,2018,12,2021,396,False,False,False,False,False,False,False,0,True,False,False,False,False,True,False
0,85.4,401.1,True,5,2019,10,2019,153,True,False,True,False,True,False,False,0,True,True,False,True,False,True,False
1,20.25,129.15,False,7,2019,7,2020,184,False,False,False,False,False,False,False,0,False,False,False,False,False,False,True
0,54.75,438.05,True,6,2019,6,2021,214,False,False,False,False,False,False,True,0,True,False,False,False,True,False,False
1,20.5,365.8,True,9,2018,9,2020,487,False,False,False,False,False,False,False,0,True,False,False,False,False,False,True
0,75.1,552.95,True,5,2019,12,2019,214,True,False,False,False,False,False,False,0,False,False,False,True,False,False,False
0,20.5,20.5,True,11,2019,12,2019,30,False,False,False,False,False,False,False,0,False,True,True,False,False,False,True
0,71.15,71.15,True,9,2019,10,2019,30,True,False,False,False,False,False,False,1,False,False,False,False,False,True,False
1,85.35,2530.4,False,5,2017,11,2019,914,False,True,True,True,True,True,True,0,False,False,False,False,False,False,False
0,28.45,131.05,False,7,2019,12,2019,153,False,False,True,False,False,False,False,1,False,False,False,False,False,True,False
1,80.9,4557.5,True,6,2015,6,2020,1675,True,False,False,False,False,False,True,0,True,True,False,False,False,True,False
0,45.3,45.3,True,10,2019,11,2019,31,False,False,False,False,False,False,False,0,False,False,False,False,False,False,True
0,86.5,1808.7,True,2,2018,11,2019,638,True,False,False,False,False,False,True,0,False,True,False,True,False,True,False
1,74.25,4859.25,True,8,2014,8,2020,1979,True,False,False,False,False,False,False,0,False,True,True,True,False,False,False
2,65.6,2313.8,False,1,2017,1,2021,1095,False,True,True,True,True,False,False,0,True,False,False,False,False,False,False
0,103.45,1539.8,True,11,2018,11,2021,426,True,False,False,True,True,True,True,0,True,True,False,True,False,True,False
1,94.25,4867.95,True,7,2015,12,2019,1614,True,False,True,False,False,True,True,0,True,True,False,False,False,False,False
0,64.4,195.65,True,11,2019,11,2021,61,False,True,False,False,True,True,False,0,True,False,False,False,True,False,False
0,72.1,72.1,True,1,2020,2,2020,0,True,False,False,False,False,False,False,1,False,False,False,True,False,True,False
0,111.5,4915.15,True,6,2016,6,2021,1309,True,True,True,True,False,True,True,0,True,False,False,True,False,True,False
0,20.35,122.0,False,9,2019,9,2021,122,False,False,False,False,False,False,False,0,True,False,True,False,True,False,False
0,53.5,53.5,True,9,2019,10,2019,30,False,False,False,False,False,True,False,0,True,False,False,False,False,False,True
0,93.5,4747.5,True,12,2015,12,2021,1492,True,True,True,False,True,False,True,0,True,False,False,False,True,False,False
